,법정동코드,법정동명,폐지여부,address1,address2,address3,address4,address5
0,1100000000,서울특별시,존재,서울특별시,,,,
1,1111000000,서울특별시 종로구,존재,서울특별시,종로구,,,
2,1111010100,서울특별시 종로구 청운동,존재,서울특별시,종로구,청운동,,
3,1111010200,서울특별시 종로구 신교동,존재,서울특별시,종로구,신교동,,
4,1111010300,서울특별시 종로구 궁정동,존재,서울특별시,종로구,궁정동,,
5,1111010400,서울특별시 종로구 효자동,존재,서울특별시,종로구,효자동,,
6,1111010500,서울특별시 종로구 창성동,존재,서울특별시,종로구,창성동,,
7,1111010600,서울특별시 종로구 통의동,존재,서울특별시,종로구,통의동,,
8,1111010700,서울특별시 종로구 적선동,존재,서울특별시,종로구,적선동,,
9,1111010800,서울특별시 종로구 통인동,존재,서울특별시,종로구,통인동,,
10,1111010900,서울특별시 종로구 누상동,존재,서울특별시,종로구,누상동,,
11,1111011000,서울특별시 종로구 누하동,존재,서울특별시,종로구,누하동,,
12,1111011100,서울특별시 종로구 옥인동,존재,서울특별시,종로구,옥인동,,
13,1111011200,서울특별시 종로구 체부동,존재,서울특별시,종로구,체부동,,
14,1111011300,서울특별시 종로구 필운동,존재,서울특별시,종로구,필운동,,
15,1111011400,서울특별시 종로구 내자동,존재,서울특별시,종로구,내자동,,
16,1111011500,서울특별시 종로구 사직동,존재,서울특별시,종로구,사직동,,
17,1111011600,서울특별시 종로구 도렴동,존재,서울특별시,종로구,도렴동,,
18,1111011700,서울특별시 종로구 당주동,존재,서울특별시,종로구,당주동,,
19,1111011800,서울특별시 종로구 내수동,존재,서울특별시,종로구,내수동,,
20,1111011900,서울특별시 종로구 세종로,존재,서울특별시,종로구,세종로,,
21,1111012000,서울특별시 종로구 신문로1가,존재,서울특별시,종로구,신문로1가,,
22,1111012100,서울특별시 종로구 신문로2가,존재,서울특별시,종로구,신문로2가,,
23,1111012200,서울특별시 종로구 청진동,존재,서울특별시,종로구,청진동,,
24,1111012300,서울특별시 종로구 서린동,존재,서울특별시,종로구,서린동,,
25,1111012400,서울특별시 종로구 수송동,존재,서울특별시,종로구,수송동,,
26,1111012500,서울특별시 종로구 중학동,존재,서울특별시,종로구,중학동,,
27,1111012600,서울특별시 종로구 종로1가,존재,서울특별시,종로구,종로1가,,
28,1111012700,서울특별시 종로구 공평동,존재,서울특별시,종로구,공평동,,
29,1111012800,서울특별시 종로구 관훈동,존재,서울특별시,종로구,관훈동,,
30,1111012900,서울특별시 종로구 견지동,존재,서울특별시,종로구,견지동,,
31,1111013000,서울특별시 종로구 와룡동,존재,서울특별시,종로구,와룡동,,
32,1111013100,서울특별시 종로구 권농동,존재,서울특별시,종로구,권농동,,
33,1111013200,서울특별시 종로구 운니동,존재,서울특별시,종로구,운니동,,
34,1111013300,서울특별시 종로구 익선동,존재,서울특별시,종로구,익선동,,
35,1111013400,서울특별시 종로구 경운동,존재,서울특별시,종로구,경운동,,
36,1111013500,서울특별시 종로구 관철동,존재,서울특별시,종로구,관철동,,
37,1111013600,서울특별시 종로구 인사동,존재,서울특별시,종로구,인사동,,
38,1111013700,서울특별시 종로구 낙원동,존재,서울특별시,종로구,낙원동,,
39,1111013800,서울특별시 종로구 종로2가,존재,서울특별시,종로구,종로2가,,
40,1111013900,서울특별시 종로구 팔판동,존재,서울특별시,종로구,팔판동,,
41,1111014000,서울특별시 종로구 삼청동,존재,서울특별시,종로구,삼청동,,
42,1111014100,서울특별시 종로구 안국동,존재,서울특별시,종로구,안국동,,
43,1111014200,서울특별시 종로구 소격동,존재,서울특별시,종로구,소격동,,
44,1111014300,서울특별시 종로구 화동,존재,서울특별시,종로구,화동,,
45,1111014400,서울특별시 종로구 사간동,존재,서울특별시,종로구,사간동,,
46,1111014500,서울특별시 종로구 송현동,존재,서울특별시,종로구,송현동,,
47,1111014600,서울특별시 종로구 가회동,존재,서울특별시,종로구,가회동,,
48,1111014700,서울특별시 종로구 재동,존재,서울특별시,종로구,재동,,
49,1111014800,서울특별시 종로구 계동,존재,서울특별시,종로구,계동,,
50,1111014900,서울특별시 종로구 원서동,존재,서울특별시,종로구,원서동,,
51,1111015000,서울특별시 종로구 훈정동,존재,서울특별시,종로구,훈정동,,
52,1111015100,서울특별시 종로구 묘동,존재,서울특별시,종로구,묘동,,
53,1111015200,서울특별시 종로구 봉익동,존재,서울특별시,종로구,봉익동,,
54,1111015300,서울특별시 종로구 돈의동,존재,서울특별시,종로구,돈의동,,
55,1111015400,서울특별시 종로구 장사동,존재,서울특별시,종로구,장사동,,
56,1111015500,서울특별시 종로구 관수동,존재,서울특별시,종로구,관수동,,
57,1111015600,서울특별시 종로구 종로3가,존재,서울특별시,종로구,종로3가,,
58,1111015700,서울특별시 종로구 인의동,존재,서울특별시,종로구,인의동,,
59,1111015800,서울특별시 종로구 예지동,존재,서울특별시,종로구,예지동,,
60,1111015900,서울특별시 종로구 원남동,존재,서울특별시,종로구,원남동,,
61,1111016000,서울특별시 종로구 연지동,존재,서울특별시,종로구,연지동,,
62,1111016100,서울특별시 종로구 종로4가,존재,서울특별시,종로구,종로4가,,
63,1111016200,서울특별시 종로구 효제동,존재,서울특별시,종로구,효제동,,
64,1111016300,서울특별시 종로구 종로5가,존재,서울특별시,종로구,종로5가,,
65,1111016400,서울특별시 종로구 종로6가,존재,서울특별시,종로구,종로6가,,
66,1111016500,서울특별시 종로구 이화동,존재,서울특별시,종로구,이화동,,
67,1111016600,서울특별시 종로구 연건동,존재,서울특별시,종로구,연건동,,
68,1111016700,서울특별시 종로구 충신동,존재,서울특별시,종로구,충신동,,
69,1111016800,서울특별시 종로구 동숭동,존재,서울특별시,종로구,동숭동,,
70,1111016900,서울특별시 종로구 혜화동,존재,서울특별시,종로구,혜화동,,
71,1111017000,서울특별시 종로구 명륜1가,존재,서울특별시,종로구,명륜1가,,
72,1111017100,서울특별시 종로구 명륜2가,존재,서울특별시,종로구,명륜2가,,
73,1111017200,서울특별시 종로구 명륜4가,존재,서울특별시,종로구,명륜4가,,
74,1111017300,서울특별시 종로구 명륜3가,존재,서울특별시,종로구,명륜3가,,
75,1111017400,서울특별시 종로구 창신동,존재,서울특별시,종로구,창신동,,
76,1111017500,서울특별시 종로구 숭인동,존재,서울특별시,종로구,숭인동,,
77,1111017600,서울특별시 종로구 교남동,존재,서울특별시,종로구,교남동,,
78,1111017700,서울특별시 종로구 평동,존재,서울특별시,종로구,평동,,
79,1111017800,서울특별시 종로구 송월동,존재,서울특별시,종로구,송월동,,
80,1111017900,서울특별시 종로구 홍파동,존재,서울특별시,종로구,홍파동,,
81,1111018000,서울특별시 종로구 교북동,존재,서울특별시,종로구,교북동,,
82,1111018100,서울특별시 종로구 행촌동,존재,서울특별시,종로구,행촌동,,
83,1111018200,서울특별시 종로구 구기동,존재,서울특별시,종로구,구기동,,
84,1111018300,서울특별시 종로구 평창동,존재,서울특별시,종로구,평창동,,
85,1111018400,서울특별시 종로구 부암동,존재,서울특별시,종로구,부암동,,
86,1111018500,서울특별시 종로구 홍지동,존재,서울특별시,종로구,홍지동,,
87,1111018600,서울특별시 종로구 신영동,존재,서울특별시,종로구,신영동,,
88,1111018700,서울특별시 종로구 무악동,존재,서울특별시,종로구,무악동,,
94,1114000000,서울특별시 중구,존재,서울특별시,중구,,,
99,1114010100,서울특별시 중구 무교동,존재,서울특별시,중구,무교동,,
100,1114010200,서울특별시 중구 다동,존재,서울특별시,중구,다동,,
101,1114010300,서울특별시 중구 태평로1가,존재,서울특별시,중구,태평로1가,,
102,1114010400,서울특별시 중구 을지로1가,존재,서울특별시,중구,을지로1가,,
103,1114010500,서울특별시 중구 을지로2가,존재,서울특별시,중구,을지로2가,,
104,1114010600,서울특별시 중구 남대문로1가,존재,서울특별시,중구,남대문로1가,,
105,1114010700,서울특별시 중구 삼각동,존재,서울특별시,중구,삼각동,,
106,1114010800,서울특별시 중구 수하동,존재,서울특별시,중구,수하동,,
107,1114010900,서울특별시 중구 장교동,존재,서울특별시,중구,장교동,,
108,1114011000,서울특별시 중구 수표동,존재,서울특별시,중구,수표동,,
109,1114011100,서울특별시 중구 소공동,존재,서울특별시,중구,소공동,,
110,1114011200,서울특별시 중구 남창동,존재,서울특별시,중구,남창동,,
111,1114011300,서울특별시 중구 북창동,존재,서울특별시,중구,북창동,,
112,1114011400,서울특별시 중구 태평로2가,존재,서울특별시,중구,태평로2가,,
113,1114011500,서울특별시 중구 남대문로2가,존재,서울특별시,중구,남대문로2가,,
114,1114011600,서울특별시 중구 남대문로3가,존재,서울특별시,중구,남대문로3가,,
115,1114011700,서울특별시 중구 남대문로4가,존재,서울특별시,중구,남대문로4가,,
116,1114011800,서울특별시 중구 남대문로5가,존재,서울특별시,중구,남대문로5가,,
117,1114011900,서울특별시 중구 봉래동1가,존재,서울특별시,중구,봉래동1가,,
118,1114012000,서울특별시 중구 봉래동2가,존재,서울특별시,중구,봉래동2가,,
119,1114012100,서울특별시 중구 회현동1가,존재,서울특별시,중구,회현동1가,,
120,1114012200,서울특별시 중구 회현동2가,존재,서울특별시,중구,회현동2가,,
121,1114012300,서울특별시 중구 회현동3가,존재,서울특별시,중구,회현동3가,,
122,1114012400,서울특별시 중구 충무로1가,존재,서울특별시,중구,충무로1가,,
123,1114012500,서울특별시 중구 충무로2가,존재,서울특별시,중구,충무로2가,,
124,1114012600,서울특별시 중구 명동1가,존재,서울특별시,중구,명동1가,,
125,1114012700,서울특별시 중구 명동2가,존재,서울특별시,중구,명동2가,,
126,1114012800,서울특별시 중구 남산동1가,존재,서울특별시,중구,남산동1가,,
127,1114012900,서울특별시 중구 남산동2가,존재,서울특별시,중구,남산동2가,,
128,1114013000,서울특별시 중구 남산동3가,존재,서울특별시,중구,남산동3가,,
129,1114013100,서울특별시 중구 저동1가,존재,서울특별시,중구,저동1가,,
