,serialNm,tradeYM,tradeDay,buildYear,dong,aptName,jySize,floor,price,siguCode,dongCode,add1
0,11680-586,2020-01,3,2004, 역삼동,현대하이츠,99.22,4,77000,11680,10100,775-15
1,11680-665,2020-01,3,2003, 역삼동,우림루미아트1,24,8,20200,11680,10100,706-11
2,11680-251,2020-01,4,1996, 역삼동,한스빌(836),41.95,11,39500,11680,10100,836
3,11680-237,2020-01,6,1998, 역삼동,동부센트레빌,59.82,21,148800,11680,10100,716
4,11680-4050,2020-01,6,2012, 역삼동,강남서해더블루,62.26,10,85000,11680,10100,796-29
5,11680-665,2020-01,6,2003, 역삼동,우림루미아트1,23.9,7,20400,11680,10100,706-11
6,11680-274,2020-01,6,2002, 역삼동,트레벨,33.48,4,56000,11680,10100,766-8
7,11680-271,2020-01,9,2002, 역삼동,갤러리하우스,76.52,5,74950,11680,10100,783-3
8,11680-665,2020-01,9,2003, 역삼동,우림루미아트1,23.9,10,20500,11680,10100,706-11
9,11680-3621,2020-01,11,2005, 역삼동,역삼래미안,59.4,20,157500,11680,10100,757
10,11680-3643,2020-01,11,2006, 역삼동,역삼푸르지오,84.9097,2,208000,11680,10100,754-1
11,11680-260,2020-01,13,2002, 역삼동,풍림 지오빌,42.69,3,45000,11680,10100,635-5
12,11680-3679,2020-01,13,2006, 역삼동,역삼 I'PARK,130.156,16,270000,11680,10100,713-11
13,11680-492,2020-01,14,2004, 역삼동,성영forU,115.4,3,125000,11680,10100,681-46
14,11680-241,2020-01,15,1998, 역삼동,세종빌라트,122.45,1,55000,11680,10100,791-23
15,11680-504,2020-01,16,2004, 역삼동,역삼동우정에쉐르1,57.98,12,65000,11680,10100,826-29
16,11680-490,2020-01,18,2001, 역삼동,역삼예명,67.08,3,58000,11680,10100,664-5
17,11680-249,2020-01,20,2001, 역삼동,한화진넥스빌,39.2,13,35800,11680,10100,706-20
18,11680-275,2020-01,20,2002, 역삼동,대우디오빌,30.03,6,32000,11680,10100,720-25
19,11680-462,2020-01,28,2003, 역삼동,지석천평대,63.03,4,55500,11680,10100,789-29
20,11680-280,2020-01,4,1992, 개포동,성원대치2단지아파트,49.86,6,124500,11680,10300,12
21,,2020-01,4,2019, 개포동,디에이치아너힐즈,94.29,12,285000,11680,10300,138
22,11680-505,2020-01,6,2004, 개포동,개포자이(12-2),134.3,17,203000,11680,10300,12-2
23,11680-283,2020-01,9,1984, 개포동,개포우성3차,133.46,3,220000,11680,10300,652
24,11680-280,2020-01,10,1992, 개포동,성원대치2단지아파트,39.53,2,103000,11680,10300,12
25,11680-279,2020-01,11,1992, 개포동,삼익대청아파트,60,14,146000,11680,10300,12
26,11680-578,2020-01,12,1983, 개포동,개포주공 7단지,60.76,2,171000,11680,10300,185
27,11680-280,2020-01,13,1992, 개포동,성원대치2단지아파트,39.53,14,111000,11680,10300,12
28,11680-290,2020-01,14,1983, 개포동,개포주공 6단지,60.13,14,180000,11680,10300,185
29,,2020-01,17,2019, 개포동,래미안블레스티지,59.897,4,188000,11680,10300,1280
30,11680-280,2020-01,28,1992, 개포동,성원대치2단지아파트,39.53,3,107000,11680,10300,12
31,11680-279,2020-01,31,1992, 개포동,삼익대청아파트,39.53,13,100500,11680,10300,12
32,11680-3574,2020-01,4,2005, 청담동,휴먼스타빌,35.905,22,60000,11680,10400,5-25
33,11680-98,2020-01,10,2002, 청담동,청담대림e-편한세상,113.57,8,195000,11680,10400,30-33
34,11680-4004,2020-01,11,2011, 청담동,청담자이,49.618,24,176000,11680,10400,134-38
35,11680-4364,2020-01,14,2015, 청담동,청담스위트,14.224,3,22000,11680,10400,34-13
36,11680-3736,2020-01,15,2007, 청담동,청담범신칼릭스빌2차,102.69,3,143000,11680,10400,109-16
37,11680-41,2020-01,18,1999, 청담동,삼환,84.88,1,144000,11680,10400,10
38,11680-4364,2020-01,18,2015, 청담동,청담스위트,13.425,3,21600,11680,10400,34-13
39,11680-41,2020-01,18,1999, 청담동,삼환,114.97,5,167000,11680,10400,10
40,11680-4004,2020-01,30,2011, 청담동,청담자이,49.619,26,176000,11680,10400,134-38
41,11680-4364,2020-01,31,2015, 청담동,청담스위트,13.425,3,23000,11680,10400,34-13
42,11680-3830,2020-01,3,2008, 삼성동,현대힐스테이트 2단지,84.679,5,224500,11680,10500,50
43,11680-3830,2020-01,8,2008, 삼성동,현대힐스테이트 2단지,38.671,21,124500,11680,10500,50
44,11680-177,2020-01,10,1998, 삼성동,서광아파트,59.67,4,145000,11680,10500,2
45,11680-525,2020-01,10,2004, 삼성동,미켈란147,83.69,16,148000,11680,10500,147-2
46,11680-3582,2020-01,16,2005, 삼성동,삼성팰리스,174.1,6,161000,11680,10500,129-5
47,11680-3641,2020-01,17,2005, 삼성동,삼성동 롯데캐슬 킹덤,170.8,12,295000,11680,10500,43
48,11680-3696,2020-01,20,2006, 삼성동,삼성팰리스(71-16),114.26,8,145000,11680,10500,71-16
49,11680-3632,2020-01,30,2005, 삼성동,레미안삼성1차(104),125.8,11,245000,11680,10500,104-10
50,11680-532,2020-01,2,2004, 대치동,포스코더샵,139.54,3,247000,11680,10600,902
51,11680-3752,2020-01,2,2008, 대치동,대치아이파크,114.97,10,300000,11680,10600,888
52,11680-4394,2020-01,4,2015, 대치동,래미안대치팰리스,94.5,11,340000,11680,10600,1027
53,11680-580,2020-01,7,2004, 대치동,대치동우정에쉐르1,79.07,2,84000,11680,10600,891-28
54,11680-528,2020-01,8,2004, 대치동,선릉역대우아이빌(890-49),25.42,14,24500,11680,10600,890-49
55,11680-601,2020-01,9,2005, 대치동,동부센트레빌,145.83,8,375000,11680,10600,670
56,11680-3752,2020-01,11,2008, 대치동,대치아이파크,84.95,12,247000,11680,10600,888
57,11680-225,2020-01,13,1990, 대치동,현대1,84.27,4,165000,11680,10600,992
58,11680-218,2020-01,14,1979, 대치동,은마,84.43,13,220000,11680,10600,316
59,11680-3752,2020-01,14,2008, 대치동,대치아이파크,84.93,9,252500,11680,10600,888
60,11680-3559,2020-01,14,1985, 대치동,선경2차(8동-12동),127.75,12,300000,11680,10600,506
61,11680-217,2020-01,20,1984, 대치동,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",84.69,2,208000,11680,10600,63
62,11680-529,2020-01,21,2004, 대치동,테헤란로대우아이빌(891-6),29.02,13,34000,11680,10600,891-6
63,11680-601,2020-01,23,2005, 대치동,동부센트레빌,145.83,20,370000,11680,10600,670
64,11680-3673,2020-01,4,2006, 신사동,신사아이빌,90.35,4,88000,11680,10700,522
65,11680-547,2020-01,7,2004, 신사동,현대아인빌,138.7,3,164000,11680,10700,569-1
66,11680-3821,2020-01,7,2008, 신사동,래미안신사,84.89,3,137000,11680,10700,506-9
67,11680-3740,2020-01,9,2007, 신사동,Ruden House,73.22,-1,39000,11680,10700,524-8
68,11680-3740,2020-01,22,2007, 신사동,Ruden House,84.98,4,88000,11680,10700,524-8
69,11680-3821,2020-01,23,2008, 신사동,래미안신사,84.89,10,145000,11680,10700,506-9
70,11680-546,2020-01,29,2004, 신사동,신사파크빌라B동,131.99,1,85000,11680,10700,562-24
71,11680-556,2020-01,14,2004, 논현동,제이빌,75.12,2,80000,11680,10800,108-2
72,11680-141,2020-01,17,1976, 논현동,"청학아파트 에이동,비동,씨동",85.12,5,110000,11680,10800,62-3
73,11680-697,2020-01,17,2004, 논현동,스위트캐슬레지던스,203.17,6,240000,11680,10800,55
74,11680-109,2020-01,18,1997, 논현동,신동아(22),84.52,11,144000,11680,10800,22
75,11680-109,2020-01,20,1997, 논현동,신동아(22),114.34,13,165000,11680,10800,22
76,11680-3726,2020-01,20,2007, 논현동,논현파라곤,120.21,12,150000,11680,10800,241-1
77,11680-559,2020-01,20,2004, 논현동,두산위브2단지,83.464,9,137000,11680,10800,258
78,11680-109,2020-01,30,1997, 논현동,신동아(22),35.73,11,80000,11680,10800,22
79,11680-4202,2020-01,31,2013, 논현동,한양수자인어반게이트,16.2,3,21200,11680,10800,221-7
80,11680-20,2020-01,3,1987, 압구정동,미성2차,74.4,13,210000,11680,11000,397
81,11680-415,2020-01,11,1976, 압구정동,"현대1차(12,13,21,22,31,32,33동)",131.49,11,299000,11680,11000,369-1
82,11680-20,2020-01,16,1987, 압구정동,미성2차,118.63,5,270000,11680,11000,397
83,11680-378,2020-01,18,1977, 압구정동,한양1차(영동한양),78.05,6,213000,11680,11000,490
84,11680-423,2020-01,22,1982, 압구정동,신현대9차,108.88,4,280000,11680,11000,426
85,11680-415,2020-01,30,1976, 압구정동,"현대1차(12,13,21,22,31,32,33동)",196.21,14,470000,11680,11000,369-1
86,11680-4199,2020-01,6,2013, 세곡동,강남엘에이치1단지,74.74,4,106500,11680,11100,579
87,11680-4090,2020-01,11,2012, 세곡동,세곡푸르지오,74.74,14,124000,11680,11100,533
88,11680-4003,2020-01,28,2011, 세곡동,강남데시앙파크,114.69,4,125000,11680,11100,525
89,11680-4090,2020-01,28,2012, 세곡동,세곡푸르지오,59.89,5,108500,11680,11100,533
90,11680-4090,2020-01,30,2012, 세곡동,세곡푸르지오,59.89,13,107000,11680,11100,533
91,11680-4319,2020-01,18,2014, 자곡동,래미안강남힐즈,91.96,3,146000,11680,11200,611
92,11680-4399,2020-01,9,2015, 율현동,강남한신휴플러스8단지,101.96,4,130000,11680,11300,BL-8
